Name,F,Fmin,Fmax,MJD,MJDmin,MJDmax,Coverage,Resolution,Scale,Sensitivity
 Hawaii HDF V0401,547e12,520e12,577e12,51968,51961,52358,5.e-6,0.8,0.3,7.1e-8
 Hawaii HDF Z,330e12,317e12,345e12,51968,51961,52358,5.e-6,0.8,0.3,26.e-8
 HEAO1A,2.4e18,0.4e18,14.5e18,43556,43466,43646,1,7200,1800,2e-6
 HI4PI,1.420e9,1.4175e9,1.42359e9,55012,53551,56473,1,972.0,90,.005
 HRIint,260e15,24e15,484e15,49625,48096,51154,.018,10,5,2.6e-8
 HUDFISAAC,137e12,125e12,150e12,52732,52182,53281,1.e-7,0.5,0.15,0.8e-7
 INTEGRALSPI_gc,6.77e18,4.8e18,9.6e18,52815,52701,52928,0.17,3600,360,4.e-7
 INT GAL 17-35 Exp,6e18,4.4e18,8.5e18,54100,52623,55576,0.3,300,240,2e-5
 INT GAL 17-35 Flux,6e18,4.4e18,8.5e18,54100,52623,55576,0.3,300,240,2e-5
 INT GAL 17-35 Sig,6e18,4.4e18,8.5e18,54100,52623,55576,0.3,300,240,2e-5
 INT GAL 17-60 Exp,8e18,4.4e18,14e18,54100,52623,55576,0.3,300,240,2e-5
 INT GAL 17-60 Flux,8e18,4.4e18,14e18,54100,52623,55576,0.3,300,240,2e-5
 INT GAL 17-60 Sig,8e18,4.4e18,14e18,54100,52623,55576,0.3,300,240,2e-5
 INT GAL 35-80 Exp,12e18,7.2e18,20e18,54100,52623,55576,0.3,300,240,2e-5
 INT GAL 35-80 Flux,12e18,7.2e18,20e18,54100,52623,55576,0.3,300,240,2e-5
 INT GAL 35-80 Sig,12e18,7.2e18,20e18,54100,52623,55576,0.3,300,240,2e-5
 IRAS100,3e12,2.5e12,3.6e12,45501,45349,45653,0.96,258,90,1
 IRAS12,25e12,20e12,35e12,45501,45349,45653,0.96,228,90,.4
 IRAS25,12e12,10e12,15.8e12,45501,45349,45653,0.96,228,90,.5
 IRAS60,5e12,3.75e12,6.5e12,45501,45349,45653,0.96,240,90,.6
 IRIS100,3e12,2.5e12,3.6e12,45501,45349,45653,0.96,258,90,1
 IRIS12,25e12,20e12,35e12,45501,45349,45653,0.96,228,90,.4
 IRIS25,12e12,10e12,15.8e12,45501,45349,45653,0.96,228,90,.5
 IRIS60,5e12,3.75e12,6.5e12,45501,45349,45653,0.96,240,90,.6
 Mellinger-B,475e12,446e12,535e12,54945,54754,54936,1,72,36,0.01
 Mellinger-G,566e12,491e12,631e12,54945,54754,54936,1,72,36,0.0083
 Mellinger-R,697e12,576e12,788e12,54945,54754,54936,1,72,36,0.00649
 NEAT,500e12,374e12,750e12,52081,50069,54093,0.3,3,1.42,.0001
 nH,1.42e9,1.419e9,1.421e9,46065,44239,47892,1,7200,2400,0.008
 NVSS,1.4e9,1.363e9,1.447e9,49899,49168,50629,0.82,45,15,0.0025
